age,division_name,department_name,class_name,clothing_id,title,review_text,alike_feedback_count,rating,recommend_index ,date,deparment,sentiment,emotions,summary
40,General,Bottoms,Jeans,1028,Amazing fit and wash,"Like other reviewers i was hesitant to spend this much on a pair of jeans. however, i purchased them at  20% off on retailer day and...honestly...they look so good i probably would have paid full price. these jeans are fresh!",0,5,1,2022-01-01 00:00:00.000000000,"Marketing, Sales",positive,"hesitant, good, fresh","20% off on retailer day, jeans look good"
62,General Petite,Tops,Blouses,850,Lovely and unique!,"As is true of a bunch of the fall clothing photos, the colors are totally washed out in these model images which is such a shame. the embroidery is bright and vivid and totally unique on this! the bib area is actually a soft corduroy which i think is nice to transition into fall and winter. in terms of fit, i do feel like this is maybe geared more towards the slender build - it is a slim cut which i found really flattering for me since i sometimes swim in tunics. at 5'7"", 128# with a very small",12,5,1,2022-01-01 13:20:00.000000000,Product and Quality Assurance,positive,"shame, bright, vivid, unique, nice","bright and vivid embroidery, unique design, slim cut flattering fit."
47,General Petite,Bottoms,Skirts,993,Meh,"I so wanted this skirt to work, love the design! but, it's way, way too long... i am 5, 5, 116lb, and the small is 1 inch on the floor. i step on the skirt as i walk.",3,1,0,2022-01-02 02:40:00.000000000,Product and Quality Assurance,negative,"disappointment, frustration, dissatisfaction, annoyance, regret","skirt design too long, not suitable for height and size"
45,General Petite,Bottoms,Pants,1068,Wow,"Love love this! i was hesitant to buy this at first - the reviews made it seem so big and i wasn't sure if it was my kind of outfit. but i wanted to try a jumpsuit and this was the perfect find! the xs was a typical retailer size for me, so the size was good in this, too. the color is fabulous and the fit is great. the rise is slightly short, but not a problem. i can't wait to where it for my next great event. i wish i could buy it in the black, too.",0,5,1,2022-01-02 16:00:00.000000000,"Marketing, Inventory Management",positive,"love, hesitant, perfect, fabulous, great","perfect find, fabulous color, great fit, can't wait for next event"
37,Initmates,Intimate,Swim,24,Great for bigger busts,"I absolutely love the retro look of this swimsuit. i first saw it on blogger amber fillerup-clark (barefoot blonde) and i knew i had to have it. this is the first one piece suit i've purchased in about six years. i've avoided one pieces because most of the ones i tried made me feel frumpy, and the mono-kini look just looked odd on me. i have a smaller frame and a larger bust (32ddd), so finding swimsuits that fit properly is a challenge. i am a size 4 but i ordered a size 6 after reading reviews",0,5,1,2022-01-03 05:20:00.000000000,"Marketing, Product and Quality Assurance",positive,"love, excited, satisfied, relieved, confident","retro swimsuit, blogger amber fillerup-clark, size 6 ordered"
43,General,Tops,Sweaters,933,Love the pattern and color,"I love this sweater but i'm on the fence about keeping it only because i haven't figured out a way to layer and wear it. it really does appear best with a plain white top and jeans. i've tried it with several other things in my closet and just haven't found another combination that sells it for me - i really like my pieces to be more versatile so i can mix and match them into other outfits. this piece is just enough of a ""statement"" that - for me - wearing it with more simple clothing staples is",0,4,1,2022-01-03 18:40:00.000000000,"Marketing, Product and Quality Assurance",positive,"love, on the fence, versatile, mix and match, statement","versatile sweater, best with plain white top and jeans."
83,General,Tops,Sweaters,937,Beautiful and unique.,"Love this sweater!
soft and cozy and the ruffles are not overwhelming.....just a touch of pretty!
it will look pretty with a turquoise necklace for a pop of color!
classic, comfy and classy!
an anhtro a ++++++++
runs very true to size, ordered my usual size an it fits perfectly.",4,5,1,2022-01-04 08:00:00.000000000,"Marketing, Product and Quality Assurance",positive,"love, soft, cozy, pretty, classic","soft and cozy sweater, classic and classy, fits perfectly"
34,General,Tops,Knits,868,Unique and wonderful,"The sweater is comfortable and a good weight. the zipper is very difficult, but i do not have to unzip the sweater to pull it on.",2,5,1,2022-01-04 21:20:00.000000000,Product and Quality Assurance,positive,"comfortable, difficult","comfortable sweater, difficult zipper"
49,General Petite,Tops,Fine gauge,900,Great look all in one,"I love everything about this sweater. it is very well made, beautiful material and such an effortless way to pull it all together. it runs large which was unfortunate for me as i bought the xs petite and i really need xxs in this one, but none are left. i am 5 ft. tall and weigh about 96 pounds. i can wear a 0 but not in this sweater. it runs very well and i highly recommend it. hope they make more in this style. it is so fresh looking and so comfortable.",4,5,1,2022-01-05 10:40:00.000000000,Product and Quality Assurance,positive,"love, well made, beautiful, effortless, unfortunate, fresh, comfortable","well-made sweater, runs large, fresh and comfortable style"
49,General,Tops,Knits,873,Beauty meets comfort,"I love this top, the details at the neck and shoulders are lovely, both front and back. it's also very comfortable and soft, allowing you look nicely dressed while feeling like you are wearing a soft tee-shirt. the sleeves are a good length with some elastic at the cuffs so you can push them up. sadly, it's sold out in in my size online and in the stores, otherwise i would certainly snap it up at the sale price.",0,5,1,2022-01-06 00:00:00.000000000,"Marketing, Inventory Management",positive,"love, lovely, comfortable, soft, nicely dressed","lovely details, comfortable and soft, sold out in my size"
