Department,Sentiment,Emotions,Summary
Product,negative,"loved, ripped, flimsy, cool, shame","flimsy leggings, cool looking, ripped belt loop"
Product,positive,"soft, transition, shape, nicely, blob","soft material, transition piece, nicely cut, not blob"
nan,nan,nan,nan
Product,negative,"disappointment, frustration, uncertainty, dissatisfaction, regret","oversized cardigan, bulky shoulders, too much fabric for petite frame."
Product,positive,"excited, satisfied, impressed, happy, intrigued","comfortable fabric, unique design, zipper for easy wear"
Product,positive,"love, stylish, unique, basic, great","trendy, stylish sweater, unique design, great with jeans and khakis."
Product,positive,"love, frumpy, flat, enough, right","skirt design and fit is just right, size up"
Product,positive,"unique, pleased, recommend, nice, notice","unique blouse, pleased with purchase, recommend this product"
Product,positive,"comfortable, swings, flatters, recommend","comfortable dress, swings and flatters body type"
Product,negative,"disappointment, frustration, dissatisfaction, surprise, hope",material is good quality and soft but heavier than expected
Product,positive,"love, works well, easy, fits, form-fitting","style, quality, material, cooler months, true to size"
Product,negative,"unflattering, costume, issues, quality","blouse has issues with fit, sleeves, and color mismatch"
Product,positive,"glad, beautiful, well-made, lovely, tall","beautiful, well-made top, good length, fits perfectly"
Product,positive,"nice, flattering, special, casual, big deal","subtle golden shimmer, nice, sheer, casual, not for office"
Product,positive,"beautiful, worth, well made","beautiful lace, worth exchanging"
Product,positive,"excitement, disappointment, confusion, satisfaction, anticipation","llama sweater with great print and color, but fit is not ideal."
Product,positive,"surprised, great, beautiful, surprised, slight","beautiful style, great price, medium sweater knit, slight flair"
Product,positive,"excited, satisfied, determined, content, happy","perfect addition to summer wardrobe, a bit pricey but worth it"
Product,positive,"beautiful, flowing, gorgeous, flattering, smashing","beautiful dress, flattering waist, perfect for daytime event"
Product,positive,"fitted, great, unflattering, soft, warm, beautiful, sturdy, better fit, boxy, poorly","soft, warm and beautiful coat, but unflattering fit in the chest"
Product,positive,"like, super, slight, problem, warm","crocheted arms are super, color is exactly what it shows"
Product,positive,"classy, expensive, compliments, color, style","classy and expensive dress, compliments on color and style"
